source_id,teff_gspphot,logg_gspphot,mh_gspphot
4689627236649092608,,,
4689627236649457152,,,
4689627236649458560,,,
4689627236649461120,,,
4689627236649467520,,,
4689627240923226240,,,
4689627240923226368,,,
4689627240923284608,,,
4689627240923284736,,,
4689627240923291136,,,
4689627240923294848,,,
4689627240933345792,,,
4689627240933347840,,,
4689627240933349888,,,
4689627240933350912,,,
4689627271008856192,,,
4689627271009390336,,,
4689627271009398912,,,
4689627271009399168,,,
4689627275282833920,,,
4689627275282846720,,,
4689627275282846976,,,
4689627275282866304,,,
4689627275282866816,,,
4689627275282867072,,,
4689627275282872832,,,
4689627275282873088,,,
4689627275284429568,,,
4689627275284525184,,,
4689627275293062144,,,
4689627275294006144,,,
4689627275294006400,,,
4689627275294007296,,,
4689627275294089344,,,
4689627275294090368,,,
4689627275294132864,,,
4689627275294134016,,,
4689627275294159104,,,
4689627275294159360,,,
4689627275294160640,,,
4689627275294160896,,,
4689627275294161664,,,
4689627305368508672,,,
4689627305368509312,,,
4689627305368510336,,,
4689627859397676672,,,
4689627305368560256,,,
4689627305368562304,,,
4689627305368970112,,,
4689627305368972800,,,
4689627309642606208,,,
4689627309644489728,,,
4689627309644565760,,,
4689627309652803328,,,
4689627309652805248,,,
4689627309652821632,,,
4689627309652822400,,,
4689627309653877120,,,
4689627309653914496,,,
4689627309653915264,,,
4689627309653915776,,,
4689627309653965312,,,
4689627309654014848,,,
4689627309658749312,,,
4689627309658759552,,,
4689627339728331264,,,
4689627339728334720,,,
4689627339728816128,,,
4689627339728820608,,,
4689627339728822272,,,
4689627339728824448,,,
4689627339728826240,,,
4689627339728834432,,,
4689627339728835968,,,
4689627339728840704,,,
4689627339728845440,,,
4689627339728851200,,,
4689627339728852096,,,
4689627339728852480,,,
4689627344002325504,,,
4689627344002325632,,,
4689627344002332288,,,
4689627344002342528,,,
4689627344002342656,,,
4689627344002350720,,,
4689627344002350848,,,
4689627344003911936,,,
4689627344013352704,,,
4689627344018489984,,,
4689627344018490752,,,
4689627344018491136,,,
4689627344018491264,,,
4689627344018491776,,,
4689627344018493056,,,
4689627344018494080,,,
4689627344018494208,,,
4689627344018838400,,,
4689627374087775104,,,
4689627374087776512,,,
4689627374087777280,,,
4689627374087779328,,,
4689627374087780224,,,
4689627374087782528,,,
4689627374088231552,,,
4689627378362301184,,,
4689627378362301952,,,
4689627378362308096,,,
4689627378362312832,,,
4689627378362362752,,,
4689627378362373504,,,
4689627378362374912,,,
4689627378362382976,,,
4689627378363025280,,,
4689627378372383872,,,
4689627378372403200,,,
4689627378372403328,,,
4689627378378304256,,,
4689627378378304768,,,
4689627378378308352,,,
4689627378378314624,,,
4689627408447214080,,,
4689627408447292928,,,
4689627408447607296,,,
4689627408447621760,,,
4689627408447622528,,,
4689627408447635840,,,
4689627412721894656,,,
4689627412721924864,,,
4689627412721975168,,,
4689627412721975296,,,
4689627412732071808,,,
4689627412738016896,,,
4689627412738025600,,,
4689627412738584832,,,
4689627442806993792,,,
4689627442806995712,,,
4689627442819449600,,,
4689627442819450240,,,
4689627442819944576,,,
4689627442820432512,,,
4689627442820436864,,,
4689627442820440576,,,
4689627442820442496,,,
4689627442820445056,,,
4689627442820464256,,,
4689627442820465664,,,
4689627442820470528,,,
4689627442820477568,,,
4689627442820481024,,,
4689627442820868864,,,
4689627442820869120,,,
4689627447081648768,,,
4689627447081745536,,,
4689627447081745664,,,
4689627447081746048,,,
4689627447081766912,,,
4689627447097761536,,,
4689627447097762304,,,
4689627447097762560,,,
4689627447097771648,,,
4689627447097782016,,,
4689627447097785344,,,
4689627447097790848,,,
4689627477166795776,,,
4689627477166798720,,,
4689627477166801280,,,
4689627477166801536,,,
4689627477166810240,,,
4689627477166810496,,,
4689627477166812544,,,
4689627477166813824,,,
4689627477167566080,,,
4689627477167566976,,,
4689627477167582848,,,
4689627477167584896,,,
4689627481441319680,,,
4689627481441319936,,,
4689627481441323136,,,
